ID,2011,2012,2013,2014,2015,2016
1001,5408,5575,5845,5710,5584,5434
1002,4127,4043,3900,3606,3222,2966
1003,6007,5494,5194,4883,4705,4692
1004,21256,20151,19234,18202,17680,18138
1005,4035,3775,4508,4632,4387,4173
1006,2129,2082,2123,2161,1970,1941
1007,5661,5294,5793,5444,4823,5004
1008,1802,1786,1775,1720,1679,1722
1009,15177,15123,14798,14393,13611,13255
1010,8174,7642,7396,7153,6865,6755
1011,29230,26613,24009,21218,18902,19052
1012,7440,6681,,,,
1013,8823,7994,,,,
1014,11353,10436,,,,
1015,1614,1502,,,,
1016,5073,5115,5185,4981,4926,5138
1017,1168,1212,1294,1259,1274,1227
1018,4234,4651,4399,4201,3856,3505
1019,1584,1484,1298,1280,1390,1470
1020,3388,3205,3043,3117,2945,2738
1021,5591,5417,5616,5613,5783,6197
1022,20274,20628,21265,21813,22268,23537
1023,7521,7645,8129,8640,8884,8835
1024,6259,6056,5802,5863,5530,5363
1025,7222,6830,6483,6718,6592,6530
1026,11456,11672,11866,12039,11786,11791
1027,6098,6226,6215,6241,6196,6364
1028,11637,11878,12513,13379,14395,13988
1029,33762,34704,34616,35425,35424,33239
1030,15473,15990,15718,16146,16685,16936
1031,16809,16705,16809,17072,16738,16989
1032,890,808,865,838,776,908
1033,1818,1908,1971,1907,1842,1710
1034,4011,4237,4489,4572,4653,4483
1035,1172,1173,1107,1185,1094,1093
1036,1388,1388,1535,1455,1452,1522
1037,18091,17830,16946,16587,14771,16430
1038,323,292,283,275,324,288
1039,752,769,843,971,1066,1095
1040,5324,5228,4649,4215,3688,3569
1041,2168,2079,2274,2006,1958,1821
1042,2293,2075,1997,1819,1713,1526
1043,1127,1214,1230,1178,1167,1103
1044,11142,11903,12213,12151,11620,10749
1045,3846,4203,5033,5931,6414,6828
1046,5186,5212,5345,5321,5276,5732
1047,1766,1734,1724,1548,1982,1808
1048,11759,11787,11012,10263,9413,10866
1049,2801,2808,2920,3002,2930,2845
1050,17859,17646,17341,17052,17595,17214
1051,3633,3864,3812,3696,3854,3691
1052,1032,899,851,862,893,949
1053,13908,13952,14048,14348,14688,15047
1054,18901,18563,18005,16893,15302,14224
1055,1102,1084,1039,944,930,856
1056,1060,1052,1043,1060,1063,997
1057,2054,1830,1891,2042,2172,2076
